id,ONG,proyecto,fecha
3682,Rosenbaum-Leffler,"PDF Solutions, Inc.",2007-02-14
3683,Donnelly-Abbott,Inacesa - El Way,1989-11-24
3684,Leffler-Durgan,"Investors Bancorp, Inc.",2009-06-09
3685,"Buckridge, Okuneva And Keebler",Laguna Siren,2002-09-21
3686,"Zemlak, Cruickshank And Boehm",Celite - Tilviche,1991-01-25
3687,"King, Gusikowski And Mosciski",Dos Amigos,2007-11-29
3688,"Kutch, Will And Grant",Yahoo! Inc.,1962-05-08
3689,Cremin-Hodkiewicz,United Insurance Holdings Corp.,2018-09-25
3690,"Lynch, Feest And Eichmann","China Lodging Group, Limited",2006-09-25
3691,"Blick, Herman And Grady",SAP SE,2015-09-06
3692,"Corkery, Roberts And Leffler",Celite - Tana,2008-03-21
3693,Ferry-Hessel,Las Cenizas,2011-10-30
3694,Stoltenberg ,Western Alliance Bancorporation,2003-11-02
3695,"Ferry, Stroman And Veum",Nuveen Michigan Quality Municipal Income Fund,2003-09-25
3696,Rosenbaum And Sons,Alhue,1985-03-17
3697,Bayer-Bashirian,"Avon Products, Inc.",2005-03-20
3698,Adane,Voya Global Equity Dividend and Premium Opportunity Fund,1998-07-08
3699,Heaney Inc,The Community Financial Corporation,1976-02-28
3700,Zulauf Group,Envision Healthcare Corporation,2013-03-09
3701,Stokes Inc,RenaissanceRe Holdings Ltd.,1997-12-08
3702,Eichmann-Streich,"Waste Management, Inc.",2007-11-13
3703,Towne-Hamill,Vina Concha Y Toro,2016-10-09
3704,Botsford-Romaguera,"FairPoint Communications, Inc.",2014-01-10
3705,Lakin-Bruen,First Trust Emerging Markets Small Cap AlphaDEX Fund,2007-06-27
3706,Ullrich Inc,AmerisourceBergen Corporation (Holding Co),2018-09-04
3707,Mraz-Eichmann,PowerShares BuyBack Achievers Portfolio,2007-12-22
3708,"Moore, Kub And Murazik",Colico Sur,1991-01-26
3709,Bins-Goldner,"Arista Networks, Inc.",1986-05-24
3710,Connelly-Maggio,"Xenia Hotels & Resorts, Inc.",2016-09-22
3711,"Keeling, Bruen And Greenholt","Chegg, Inc.",2015-10-21
3712,"Becker, Haag And Hammes",Intracampos,2008-06-18
3713,"Mcclure, Klocko And Wyman",Ojos del Salado,2004-11-14
3714,Schmitt-Mckenzie,San Jose,2001-01-20
3715,Barrows Group,Biglari Holdings Inc.,1973-06-05
3716,"Auer, Bogisich And Jacobson",Arch Capital Group Ltd.,1997-05-18
3717,D'Amore Group,El Peñon,1995-12-20
3718,"Abshire, Crooks And Kassulke","Clear Channel Outdoor Holdings, Inc.",2002-12-14
3719,"Spinka, Schuster And Kerluke",Western Asset Bond Fund,2005-09-12
3720,Braun-Simonis,Altamira,1986-07-31
3721,"Doyle, Mccullough And Friesen",Great Plains Energy Inc,1970-12-19
3722,Adca,"Cleveland BioLabs, Inc.",2005-07-10
3723,Adams-Hickle,Carvana Co.,2017-07-13
3724,Zulauf And Sons,"Texas Capital Bancshares, Inc.",1967-09-13
3725,Bosco-Lockman,"Hawkins, Inc.",2003-10-20
3726,"Bosco, Heathcote And Ryan",Algorta,1990-07-25
3727,Adela Eh,"Rush Enterprises, Inc.",1967-04-02
3728,Bergstrom-O'Conner,"Ashford Hospitality Prime, Inc.",2002-01-25
3729,Dicki-Schaden,Choquelimpie,2000-12-07
3730,Gorczany-Nienow,"Sarepta Therapeutics, Inc.",2017-04-22
3731,Bartoletti-Kunde,Nuveen Floating Rate Income Fund,1974-11-24
3732,Rutherford Group,Apollo Senior Floating Rate Fund Inc.,2010-08-06
3733,"Gorczany, Lindgren And Smitham",AGCO Corporation,1984-03-12
3734,"Mertz, Boyle And Franecki",El Morro,1990-05-27
3735,Murray-Braun,Gladstone Commercial Corporation,2014-03-09
3736,Jenkins-Ward,Galectin Therapeutics Inc.,2018-05-23
3737,"Hickle, Beatty And Gleichner","Pepsico, Inc.",2017-04-27
3738,Mraz-Eichmann,GlaxoSmithKline PLC,2004-09-11
3739,"Cartwright, Kulas And Fahey",Lambert,1961-10-02
3740,"Doyle, Mccullough And Friesen",China Cord Blood Corporation,2013-05-26
3741,"Zemlak, Cruickshank And Boehm",United Insurance Holdings Corp.,2017-11-03
3742,Carter-Muller,Kite Realty Group Trust,2018-09-02
3743,"Mohr, Monahan And Hermiston",ENGlobal Corporation,2011-03-24
3744,Welch ,Yahoo! Inc.,1968-01-26
3745,Koelpin Group,"FTI Consulting, Inc.",2014-01-16
3746,Smitham-Hickle,China Cord Blood Corporation,1992-12-15
3747,Mraz-Ratke,Cerro Colorado,1989-06-18
3748,Batz Inc,Alhue,2015-03-01
3749,Hartmann And Sons,Dollar General Corporation,2014-01-23
3750,Price Inc,Nuveen Floating Rate Income Fund,1970-08-30
3751,"Cartwright, Gusikowski And Miller",Nuveen Municipal High Income Opportunity Fund,1979-05-26
3752,Dietrich ,Andacollo Cobre,1997-06-03
3753,Gutkowski Group,Collahuasi,2009-10-31
3754,Rice-Price,SCL Chemetall,1974-08-22
3755,Harber-Blanda,Cosayach - Negreiros,1982-02-21
3756,"Hegmann, Koelpin And Lindgren",Flor de Los Andes,1975-03-12
3757,Friesen-Pfeffer,"Texas Capital Bancshares, Inc.",2018-01-27
3758,Waelchi Inc,Esterline Technologies Corporation,1995-03-13
3759,Wisozk-Connelly,"Diamond Hill Investment Group, Inc.",2011-01-25
3760,"Pollich, Nikolaus And Gottlieb",JM Global Holding Company,1986-12-20
3761,Daniel ,"Forterra, Inc.",2015-10-17
3762,Hettinger ,Dollar General Corporation,2013-06-04
3763,Jaskolski Inc,Los Pelambres,1989-07-14
3764,Luettgen Group,Andes Travertine,1997-03-05
3765,"Strosin, Frami And Kuhic",Fidus Investment Corporation,2018-05-27
3766,"Nolan, Reynolds And Waters",Galectin Therapeutics Inc.,2019-07-19
3767,Barrows-Dibbert,Nuveen Connecticut Quality Municipal Income Fund,1975-03-27
3768,Champlin ,"Midland States Bancorp, Inc.",2018-05-10
3769,Bartell Inc,Ivan,1983-08-25
3770,"Volkman, Hamill And Stiedemann",West Corporation,2017-11-07
3771,Davis Inc,"National American University Holdings, Inc.",1976-02-17
3772,"Kling, Donnelly And Blanda",United Insurance Holdings Corp.,2014-02-23
3773,"Wunsch, Barrows And Hoeger",Special Opportunities Fund Inc.,2009-10-05
3774,Runolfsdottir And Sons,PrimeEnergy Corporation,1983-12-30
3775,"Hintz, Yost And Carter","Universal Stainless & Alloy Products, Inc.",1962-06-09
3776,"Turner, Medhurst And Carroll","Westbury Bancorp, Inc.",2019-01-30
3777,Gulgowski Inc,iPath US Treasury Long Bond Bear ETN,2018-08-12
3778,Koelpin-Hand,Voya Global Equity Dividend and Premium Opportunity Fund,2014-06-25
3779,Rutherford Group,Mackinac Financial Corporation,2010-11-04
3780,Jerde-Bauch,Urstadt Biddle Properties Inc.,2014-07-20
3781,Jacobs Group,SAP SE,2009-12-31
3782,Dooley-Runolfsson,"Edge Therapeutics, Inc.",1967-09-28
3783,Kulas Inc,Tata Motors Ltd,2003-12-26
3784,Hansen-Hills,China Mobile (Hong Kong) Ltd.,2004-04-02
3785,Stracke And Sons,"Hub Group, Inc.",2013-06-07
3786,Lubowitz-Stroman,Celite - Carol,2008-11-03
3787,Watsica Group,Ojos del Salado,2011-02-22
3788,Gutmann-Feest,Chimberos,2019-05-12
3789,"Bergstrom, Barrows And Shields",Los Pelambres,1988-01-10
3790,Johnson-Hintz,Pure Cycle Corporation,2011-11-22
3791,Waelchi-Borer,Cerro Bayo,2019-05-01
3792,Cole-Reilly,"HCA Healthcare, Inc.",2018-11-10
3793,Mcclure Group,Silicon Motion Technology Corporation,2012-10-10
3794,Raynor-Reichel,El Volcan,1998-10-02
3795,"Bauch, Ernser And Cronin",La Coipa,1992-07-17
3796,"Kshlerin, Hahn And Gulgowski",Comcast Corporation,2004-11-02
3797,Wisozk-Bernier,Apollo Senior Floating Rate Fund Inc.,2019-05-28
3798,"Jacobson, Boyer And Gleichner",Nuveen AMT-Free Municipal Value Fund,2010-05-14
3799,Mcclure ,Algorta,2006-06-03
3800,"Becker, Haag And Hammes",Entegra Financial Corp.,2001-02-28
3801,Hammes-Conn,United Microelectronics Corporation,1986-08-10
3802,Waelchi-Bashirian,Julia,2001-02-22
3803,"Wyman, Nicolas And Fahey","Argos Therapeutics, Inc.",2005-01-01
3804,Botsford-Romaguera,Virco Manufacturing Corporation,2003-02-13
3805,Schultz Group,First Trust Emerging Markets Small Cap AlphaDEX Fund,2019-02-22
3806,Wisozk ,El Abra,1988-01-24
3807,"Gleichner, Waelchi And Douglas",Condor,2017-10-09
3808,Rosenbaum-Brekke,"International Seaways, Inc.",2015-08-09
3809,Hilll-Tromp,"The Travelers Companies, Inc.",1982-08-19
3810,Marvin-Sipes,Mantos de la Luna,2013-11-24
3811,Waelchi Inc,Pampa Camarones,2008-01-19
3812,"Mohr, Monahan And Hermiston",Faride,2001-04-10
3813,Runolfsson-Renner,Hamilton Lane Incorporated,2008-06-03
3814,Rowe-Wisoky,Caleta El Cobre,1994-08-15
3815,Accion Natura,Westpac Banking Corporation,2011-02-05
3816,"Schaden, Homenick And Gutkowski",Antucoya,1985-09-04
3817,Ortiz-Weimann,SQM - Maria Elena,1972-07-19
3818,Adecoi,"Under Armour, Inc.",2016-10-13
3819,Nolan Group,Novanta Inc.,1985-11-01
3820,"Heaney, Feest And Murphy",Anheuser-Busch Inbev SA,1979-07-20
3821,"Morissette, Christiansen And Collins",Moog Inc.,2018-01-31
3822,Dietrich And Sons,Lenga,1987-09-28
3823,Willms-Ondricka,Franke,2019-06-26
3824,Conroy ,Nuveen AMT-Free Municipal Value Fund,2010-02-01
3825,Effertz-Zboncak,Urstadt Biddle Properties Inc.,2009-04-01
3826,"Schiller, Ullrich And Willms",Dollar General Corporation,2018-12-15
3827,Bradtke And Sons,Blackstone GSO Long Short Credit Income Fund,2000-05-01
3828,Dicki-Schaden,Cerro Casale,1990-07-25
3829,Mckenzie Inc,Chimborazo,2004-02-21
3830,Oberbrunner ,Las Luces,1985-09-05
3831,Borer-Trantow,BlackRock Municipal Target Term Trust Inc. (The),2006-05-09
3832,Cremin And Sons,Cerro Blanco,1969-09-29
3833,Langosh-Reilly,United Insurance Holdings Corp.,2012-04-03
3834,"Wilderman, Dubuque And Quitzon",EPR Properties,1991-05-18
3835,"Spinka, Senger And Brakus","Zynerba Pharmaceuticals, Inc.",1987-10-23
3836,Pouros Group,First Trust South Korea AlphaDEX Fund,2019-07-16
3837,Marvin-Corkery,Radomiro Tomic,1982-07-26
3838,Buckridge Group,Cambrex Corporation,2002-07-21
3839,Jaskolski Inc,AdvisorShares Market Adaptive Unconstrained Income ETF,1997-06-15
3840,Barton-Connelly,Kraton Corporation,2007-07-03
3841,"Rice, Daniel And Klocko",Condor,1988-12-20
3842,Nikolaus-Pfannerstill,La Patagua,1996-07-16
3843,Schiller Inc,"TC PipeLines, LP",1974-02-06
3844,"Altenwerth, Ebert And Mitchell","XO Group, Inc.",2017-03-25
3845,Cassin-Jerde,Natl Westminster Pfd,1981-10-22
3846,Abshire Inc,"Hawkins, Inc.",2003-09-06
3847,Afesip,Gabriela Mistral,2017-11-22
3848,"Keeling, Kilback And Mcdermott",Aircastle Limited,2013-10-04
3849,"Walsh, Hettinger And Grimes","Ulta Beauty, Inc.",2016-12-17
3850,"Kuvalis, Bauch And Schumm",Celite - Tana,2010-11-14
3851,"Goodwin, Cremin And Raynor",Gladstone Commercial Corporation,2017-10-19
3852,Funk And Sons,Old Republic International Corporation,2014-01-07
3853,Luettgen-Satterfield,GlaxoSmithKline PLC,2006-10-15
3854,Pacocha-Heller,El Morro,2007-03-27
3855,Terry Group,La Coipa,2013-03-06
3856,"Stiedemann, Willms And Fay",Virco Manufacturing Corporation,2013-02-18
3857,Dibbert And Sons,Lenga,2012-07-10
3858,Ullrich Inc,Cosayach - Negreiros,1981-05-09
3859,"Orn, Conn And Jakubowski",El Volcan,2017-01-30
3860,Lakin-Osinski,Guanaco,2008-11-30
3861,Barrows-Dibbert,"HCA Healthcare, Inc.",1976-12-22
3862,"Becker, Haag And Hammes",El Soldado,2004-12-26
3863,Herman-Graham,Fair Isaac Corporation,1996-06-10
3864,Sanford And Sons,El Tesoro,1995-12-02
3865,Strosin And Sons,Terreno Realty Corporation,2011-12-03
3866,Lesch And Sons,Torchmark Corporation,1988-04-15
3867,Hilpert ,Trongol,2011-02-23
3868,Zboncak Inc,United Insurance Holdings Corp.,2012-09-29
3869,Kuhlman-Bernhard,Michilla,1969-06-09
3870,Russel ,El Soldado,2008-04-17
3871,"Hayes, Goodwin And Feil","FTI Consulting, Inc.",2007-01-01
3872,"Kshlerin, Hahn And Gulgowski",Lambert,1975-08-24
3873,Schmitt ,Cabot Corporation,2006-12-10
3874,Conroy Group,"Ashford Hospitality Prime, Inc.",2001-10-21
3875,"Auer, Bogisich And Jacobson",AbbVie Inc.,2017-03-03
3876,Kerluke-Yundt,Maganeso III de Atacama,1993-03-24
3877,"Mertz, Batz And Olson",Manantial,1977-03-31
3878,"Halvorson, Mcclure And Skiles",Torchmark Corporation,1994-09-09
3879,Nader-Kutch,Quebrada Blanca,1999-07-07
3880,Buckridge-Greenfelder,Cohen & Steers Reit and Preferred Income Fund Inc,2016-08-19
3881,Schowalter-Senger,Las Pataguas,2009-06-23
3882,"Mann, Howell And Shields",El Morro,2015-01-31
3883,Sanford Inc,Torchmark Corporation,1966-02-14
3884,Schmitt-Mckenzie,First Trust Nasdaq Retail ETF,1988-06-04
3885,O'Keefe-Zulauf,Pucobre,1994-12-12
3886,Shields ,Pure Cycle Corporation,2006-07-31
3887,Dooley-Runolfsson,PowerShares Nasdaq Internet Portfolio,1988-12-28
3888,Renner Inc,"Hurco Companies, Inc.",2007-06-10
3889,D'Amore ,Kraton Corporation,1992-01-07
3890,Greenholt Inc,AGCO Corporation,1998-08-18
3891,Rosenbaum-Leffler,"Littelfuse, Inc.",1993-01-13
3892,Schiller Inc,JM Global Holding Company,1964-02-23
3893,"Brakus, White And Mueller",China Mobile (Hong Kong) Ltd.,1990-05-07
3894,Breitenberg ,SQM - Pampa Blanca,2010-12-16
3895,Breitenberg-Murphy,Nuveen Municipal High Income Opportunity Fund,1963-01-14
3896,Huels ,Regal Entertainment Group,2007-03-16
3897,Miller ,Linderos,1987-10-28
3898,Kunze-Welch,"MasTec, Inc.",2006-05-09
3899,"Bosco, Heathcote And Ryan",Enel Generacion Chile S.A.,2018-06-23
3900,Carter-Muller,Virco Manufacturing Corporation,2003-11-15
3901,"Cronin, Gibson And Parisian",Northern Trust Corporation,2018-12-03
3902,"Lowe, Streich And Purdy",Montecristo,1997-10-25
3903,"Cremin, Klocko And Thiel",United Microelectronics Corporation,1972-10-08
3904,Senger Group,Esterline Technologies Corporation,2010-04-01
3905,"Leffler, Wisozk And Koelpin",SAP SE,2014-05-26
3906,Quitzon Group,Cerro Colorado,1969-11-29
3907,"Orn, Conn And Jakubowski",Pirquitas,2010-04-08
3908,Frami ,EQT Corporation,1999-03-13
3909,Heaney-Harber,SCL Chemetall,2001-02-14
3910,"Zemlak, Cruickshank And Boehm",San Geronimo,2018-12-10
3911,"Kuhlman, Denesik And King",Nabriva Therapeutics AG,2011-10-20
3912,"Pfeffer, Durgan And Hayes",PrimeEnergy Corporation,2007-08-19
3913,Wunsch Group,Quiborax,1991-05-27
3914,"Crooks, Mraz And Volkman",Laguna Siren,2003-12-04
3915,Breitenberg ,"Argos Therapeutics, Inc.",2011-04-22
3916,Ritchie-Rath,Andacollo Oro,1979-04-21
3917,Lynch ,CMP - Boqueron Chañar,2015-04-25
3918,Sanford-Kovacek,Janus Henderson Small Cap Growth Alpha ETF,2008-06-25
3919,Reinger And Sons,"Vectrus, Inc.",1965-01-06
3920,Waters ,Forum Merger Corporation,1973-11-30
3921,Medhurst-Jones,Pure Cycle Corporation,2017-03-21
3922,"Walker, Paucek And Beer",Tekla Healthcare Opportunies Fund,2013-09-07
3923,Hegmann And Sons,"Westbury Bancorp, Inc.",2015-07-01
3924,Zboncak-Mraz,"Avon Products, Inc.",2013-01-03
3925,Shields-Kuhlman,Independence Holding Company,1991-10-09
3926,Gleichner And Sons,Cerro Colorado,1987-08-09
3927,Carter-Mueller,Chimborazo,2004-05-07
3928,Legros-Price,Corporate Asset Backed Corp CABCO,1993-04-14
3929,Morar-Schoen,"Commerce Bancshares, Inc.",2016-10-21
3930,Zieme And Sons,Chimborazo,2011-06-28
3931,"Fisher, Cummings And Rowe",Global Partner Acquisition Corp.,2010-12-02
3932,Schiller-Reilly,Drive Shack Inc.,1958-01-22
3933,Dickens ,Isla Riesco,2010-06-05
3934,Roberts Group,Ministro Hales,1995-10-19
3935,Wolf And Sons,Merus Labs International Inc.,2003-10-15
3936,Kunze-Ernser,Limoneira Co,2016-06-04
3937,Lind-Kuphal,Inacesa - El Way,2008-04-19
3938,Hamill-Rath,Independence Holding Company,1991-04-06
3939,Welch ,Northern Trust Corporation,2000-10-25
3940,Schultz Group,"support.com, Inc.",2014-07-12
3941,Keebler-Stark,The9 Limited,2004-10-12
3942,Jerde And Sons,Container Store (The),2016-04-09
3943,Prohaska-Brakus,"Recon Technology, Ltd.",1955-06-03
3944,Doyle-Powlowski,Pascua,2006-02-25
3945,Okuneva Inc,Marine Petroleum Trust,2019-06-13
3946,Schiller-Mitchell,SAP SE,2005-03-14
3947,Cassin-Jerde,"Argos Therapeutics, Inc.",1997-04-24
3948,Ziemann-Trantow,Tata Motors Ltd,2015-09-21
3949,Farrell Group,"UMH Properties, Inc.",2014-04-16
3950,Jenkins-Kemmer,Candelaria,1994-12-08
3951,"Mann, Howell And Shields",Victoria,2017-02-04
3952,Berge ,"Enanta Pharmaceuticals, Inc.",1993-06-28
3953,Jenkins And Sons,"International Seaways, Inc.",2012-03-07
3954,Wisoky ,Imax Corporation,1985-06-07
3955,Weber Inc,Las Pataguas,1995-01-01
3956,Reinger-Bosco,SQM - Maria Elena,2009-05-22
3957,"Reichert, Mayer And Schmitt",Lions Gate Entertainment Corporation,2005-04-12
3958,King ,El Volcan,2007-01-05
3959,Roob ,Randgold Resources Limited,2012-12-13
3960,"Homenick, Sipes And Carter","Nutanix, Inc.",1956-10-10
3961,"Trantow, Schneider And Marvin","German American Bancorp, Inc.",1996-04-02
3962,Kertzmann-Kulas,Pucobre,2001-09-24
3963,"Champlin, Oberbrunner And Eichmann","Diamond Hill Investment Group, Inc.",2016-07-09
3964,"Shields, Grant And Bernier",El Soldado,2018-06-19
3965,"Renner, Bogisich And O'Kon",Maganeso III de Atacama,1961-04-09
3966,Glover-Nader,Ivan,2010-03-23
3967,"Kling, Donnelly And Blanda",Laguna Siren,1997-11-02
3968,"Grady, Hermann And Streich",Quiborax - Ascotan,2018-05-13
3969,Emard-Stroman,Delta,1998-11-27
3970,Steuber-Lang,"Delcath Systems, Inc.",2006-03-08
3971,"Cronin, Welch And Rippin",Yelp Inc.,2003-11-18
3972,Kunze-Welch,"Diamond Hill Investment Group, Inc.",2006-04-14
3973,Wunsch Group,Yahoo! Inc.,1970-01-13
3974,Mcclure ,Pinatolca,1992-03-05
3975,Eichmann-Fahey,Western Alliance Bancorporation,1996-12-15
3976,"Schaden, Cronin And Bernier",Collahuasi,2017-04-08
3977,Legros-Price,La Pepa,2011-10-04
3978,"Wisozk, Smitham And Wisoky",PureFunds ETFx HealthTech ETF,2017-05-24
3979,Zboncak And Sons,"Urban One, Inc. ",2017-11-11
3980,"Powlowski, Kohler And Deckow",Apollo Senior Floating Rate Fund Inc.,2016-04-02
3981,Schowalter Group,El Tofo,2018-05-14
3982,Konopelski-Langosh,Don Alberto,2014-03-11
3983,Franecki Group,Inacesa - El Jilguero,2013-09-24
3984,"Schaefer, Bednar And Welch",Arlington Asset Investment Corp,2000-08-04
3985,"Harvey, Heathcote And Legros",Orbotech Ltd.,1974-11-15
3986,Lind-Kuphal,Toll Brothers Inc.,2012-03-08
3987,Schimmel-Beatty,SQM - Pedro de Valdivia,2002-06-04
3988,Schuppe And Sons,AmerisourceBergen Corporation (Holding Co),2006-10-10
3989,"Hermann, Quigley And Heaney",R.R. Donnelley & Sons Company,1981-02-16
3990,Senger-Bogisich,E.I. du Pont de Nemours and Company,1995-09-05
3991,Bailey-Crist,"Littelfuse, Inc.",1991-03-25
3992,Kertzmann-Kulas,Pucobre,1980-09-30
3993,Wuckert Group,Cambrex Corporation,1976-11-28
3994,Legros Group,Lenga,1990-01-11
3995,Connelly-Maggio,El Tofo,2017-05-05
3996,Glover-Nader,Franke,2017-02-08
3997,Raynor-Oberbrunner,Nuveen Floating Rate Income Fund,2016-12-09
3998,Rosenbaum-Brekke,EQT Corporation,1993-11-15
3999,"Jacobs, Braun And Schimmel",Blackstone GSO Long Short Credit Income Fund,2003-09-22
4000,Williamson-Littel,CMP - Cerro Negro Norte,1991-06-23
4001,"Cassin, Grant And Pfannerstill",Michilla,2011-12-10
4002,Kohler And Sons,"Sierra Oncology, Inc.",2008-02-27
4003,Bosco-Kuhn,PIMCO Dynamic Credit and Mortgage Income Fund,2005-02-16
4004,"Kuvalis, Bauch And Schumm","Hub Group, Inc.",2011-03-04
4005,Adavas,Las Arenitas,1972-11-29
4006,Goyette ,"Ashford Hospitality Prime, Inc.",1973-03-17
4007,"Bruen, Macgyver And Deckow",Celite - Tana,2007-03-06
4008,Simonis Group,"FairPoint Communications, Inc.",1998-10-09
4009,Cummerata Group,Peabody Energy Corporation,2017-09-12
4010,"Ratke, Connelly And Ward",Kraton Corporation,2010-06-04
4011,Mraz Group,Randgold Resources Limited,1972-07-20
4012,Weimann And Sons,"MiMedx Group, Inc",1969-08-02
4013,"Pfannerstill, Powlowski And Kreiger",La Marcelina,1964-06-15
4014,Williamson-Schmidt,"Arista Networks, Inc.",1982-08-26
4015,Bradtke Inc,Western Asset Bond Fund,2002-05-19
4016,Predovic-Graham,Romeral,1997-04-18
4017,"Olson, Thompson And Fritsch",SQM - Yumbes,1995-11-13
4018,Aufderhar-Mitchell,"Clear Channel Outdoor Holdings, Inc.",2005-12-30
4019,Hauck Group,SQM - Pedro de Valdivia,2007-09-24
4020,Dickinson ,Patriot National Bancorp Inc.,1992-02-04
4021,"Koch, Feil And Spencer",Bed Bath & Beyond Inc.,1988-05-05
4022,"Nienow, Harvey And Bartoletti",PowerShares Nasdaq Internet Portfolio,2011-10-23
4023,O'Reilly-Hilll,Alliance National Municipal Income Fund Inc,2013-02-19
4024,"Cremin, Klocko And Thiel",Cerro Iman,2006-07-01
4025,Pouros And Sons,Refugio,2002-11-24
4026,"Cummerata, Gutmann And Gaylord","LM Funding America, Inc.",1992-06-01
4027,Terry Inc,First Trust South Korea AlphaDEX Fund,2017-07-22
4028,"Konopelski, Schaefer And Feil",Kraton Corporation,1996-03-05
4029,"Baumbach, Reinger And Jaskolski","Discovery Communications, Inc.",2013-06-29
4030,Yundt Group,"International Seaways, Inc.",2012-05-01
4031,Quitzon Group,Abeona Therapeutics Inc.,1994-08-08
4032,"Mckenzie, Lynch And Reinger","Portola Pharmaceuticals, Inc.",1996-05-29
4033,Lubowitz Group,Lenga,2007-07-22
4034,Reichert-Deckow,Merus Labs International Inc.,2007-10-22
4035,Bahringer Group,Eaton Vance Corporation,2014-08-01
4036,"Jacobi, Spencer And Mayer",Caserones,2002-08-26
4037,"Hermann, Quigley And Heaney",Enel Generacion Chile S.A.,1990-07-23
4038,Bradtke And Sons,Imax Corporation,1974-01-22
4039,O'Keefe-Zulauf,"Cyclacel Pharmaceuticals, Inc.",2018-11-20
4040,Wisozk-Connelly,Los Pelambres,1996-05-02
4041,Bradtke Inc,SQM - Nueva Victoria,2008-07-15
4042,Bradtke-Wilkinson,Dynatronics Corporation,1997-04-09
4043,Watsica-Blanda,SQM - Yumbes,2016-10-08
4044,"Keeling, Bruen And Greenholt",Pirquitas,2000-07-15
4045,Lakin-Osinski,"Spark Energy, Inc.",2015-07-01
4046,"Yost, Mayer And Stokes","OraSure Technologies, Inc.",2008-03-29
4047,Collier ,Brookfield Global Listed Infrastructure Income Fund,2017-04-17
4048,"Lesch, Rath And Pfannerstill",Terreno Realty Corporation,2001-07-26
4049,Schoen And Sons,Great Elm Capital Corp.,2003-12-10
4050,Rowe-Wisoky,III de Atacama Minerals - Aguas Blancas,2002-10-25
4051,Jenkins-Dicki,Chimberos,2017-08-05
4052,Feest-Graham,Pampa Camarones,2005-06-14
4053,"Mertz, Boyle And Franecki","Spark Energy, Inc.",2018-04-10
4054,"Kassulke, Hamill And Luettgen","Sierra Oncology, Inc.",2000-01-31
4055,Pagac And Sons,PowerShares BuyBack Achievers Portfolio,1997-07-10
4056,"Grady, Nicolas And Blick",Novanta Inc.,2004-08-13
4057,Jaskolski Inc,Westpac Banking Corporation,1997-03-18
4058,Rowe-Fisher,Lenga,2018-10-19
4059,"Veum, Gislason And Morar",Carvana Co.,2016-01-23
4060,Bosco-Kuhn,Anheuser-Busch Inbev SA,2017-06-08
4061,"Botsford, Bechtelar And Conn",Ojos del Salado,2007-03-18
4062,Mcclure ,Randgold Resources Limited,2006-08-22
4063,Wuckert Group,La Productora,2019-05-26
4064,"Predovic, O'Conner And Gutkowski",La Marcelina,1967-08-17
4065,Terry ,El Tofo,2016-11-16
4066,Rutherford-Becker,Ceragon Networks Ltd.,1993-11-08
4067,"Dooley, Lindgren And Kub","Biocept, Inc.",2011-01-22
4068,Sipes Group,VictoryShares US 500 Enhanced Volatility Wtd ETF,1973-06-21
4069,Sanford-Kovacek,Eagle Bulk Shipping Inc.,2001-04-09
4070,Kovacek-Dietrich,West Corporation,2013-07-10
4071,"Kohler, Harris And Weissnat",HollyFrontier Corporation,2003-02-20
4072,Sanford And Sons,"Dupont Fabros Technology, Inc.",2009-06-07
4073,Kuhn-Herzog,Peabody Energy Corporation,2018-04-09
4074,Bradtke-Walsh,Andina,1974-03-27
4075,Cassin ,"Herman Miller, Inc.",1996-03-11
4076,Wolff-Greenholt,Cambrex Corporation,2010-09-20
4077,"Dooley, Jerde And Kshlerin","Cyclacel Pharmaceuticals, Inc.",2018-08-02
4078,Mraz Group,"Nutanix, Inc.",1973-03-29
4079,Schuppe And Sons,Yelp Inc.,2006-09-18
4080,Blanda-Gislason,Carola,1997-05-30
4081,Leffler Group,Cabot Corporation,2007-10-20
4082,Von-Grady,III de Atacama Kozan,1963-06-24
4083,Cronin-Jacobson,"Idera Pharmaceuticals, Inc.",2010-01-11
4084,"Funk, Turcotte And Jenkins",Western Asset Bond Fund,2002-05-24
4085,"Hackett, Lockman And Littel","Discovery Communications, Inc.",1990-04-22
4086,"Ratke, Connelly And Ward","Gray Television, Inc.",2011-10-29
4087,Johnson And Sons,Tuina,2018-08-03
4088,Kuhic-Zboncak,Alliance National Municipal Income Fund Inc,1980-02-24
4089,Champlin-Bauch,Andacollo Oro,2017-11-06
4090,Kulas-Crist,Del Fierro,2008-04-01
4091,Treutel-Stamm,Kamada Ltd.,2003-08-07
4092,"Baumbach, Reinger And Jaskolski",Terreno Realty Corporation,1998-04-14
4093,Mertz Inc,La Patagua,1999-05-25
4094,Stracke Group,DRDGOLD Limited,2019-07-20
4095,"Williamson, Lindgren And Cummerata",Salesforce.com Inc,1999-08-24
4096,Senger-Bins,PIMCO Dynamic Credit and Mortgage Income Fund,1990-08-03
4097,Berge And Sons,"German American Bancorp, Inc.",1993-09-20
4098,"Pagac, Huel And Abshire","Herman Miller, Inc.",2009-12-31
4099,Moore-O'Conner,ENGlobal Corporation,1987-11-18
4100,Denesik And Sons,Cerro Casale,2018-04-01
4101,"Littel, Bode And Dibbert",NVIDIA Corporation,2014-07-02
4102,"Raynor, Abernathy And Koch",Arlington Asset Investment Corp,2002-10-05
4103,Gulgowski Inc,Condor,1997-04-04
