numero,nombre,causa contaminante,area influencia (kms),descripcion,fecha apertura,comuna de tramitacion,status
68830-32308-GM,La Pepa,contaminacion de la cadena trofica,29.71,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",23/08/2012,Vichuquen,en tramite
74862-82392-MO,Altamira,contaminacion del aire,36.18,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,11/03/2013,San Jose de Maipo,en tramite
83463-46321-BK,"India Fund, Inc. (The)",contaminacion de la cadena trofica,13.8,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",17/05/1996,Quilicura,en tramite
36272-27778-BG,"OraSure Technologies, Inc.",contaminacion del aire,22.58,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",15/05/2003,Traiguen,en tramite
66647-6125-FK,"Western Refining Logistics, LP",contaminacion de la cadena trofica,42.43,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",06/05/1977,Vitacura,en tramite
14410-23669-LL,La Perla,contaminacion del aire,44.17,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,20/01/1980,Hijuelas,en tramite
95250-57246-OI,Merus Labs International Inc.,contaminacion del aire,4.84,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,04/10/2018,Quinta Normal,en tramite
17103-41020-KB,R.R. Donnelley & Sons Company,contaminacion del aire,43.67,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",15/06/2001,La Serena,en tramite
48047-70234-EA,Peabody Energy Corporation,contaminacion de suelo,17.29,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",06/06/1993,Pudahuel,en tramite
84259-92276-FL,Andacollo Oro,contaminacion de suelo,10.11,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,27/05/2009,Maria Elena,en tramite
42777-44648-OH,Andina,contaminacion de la cadena trofica,0.51,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,02/07/2019,Limache,en tramite
13081-1112-AB,Cosayach - Soledad,contaminacion de suelo,41.84,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",06/12/2013,La Florida,en tramite
22531-61648-LK,"Sarepta Therapeutics, Inc.",contaminacion del aire,46.3,Fusce consequat. Nulla nisl. Nunc nisl.,22/10/1977,San Antonio,en tramite
51925-99534-JH,"Avon Products, Inc.",contaminacion del aire,26.66,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",22/10/2006,Independencia,en tramite
74505-22939-LI,El Tofo,contaminacion del aire,34.22,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,01/08/2016,Cabrero,en tramite
84893-56698-KA,"Chegg, Inc.",contaminacion de la cadena trofica,27.99,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,07/08/2015,Collipulli,en tramite
96776-44691-KA,Array BioPharma Inc.,contaminacion de la cadena trofica,28.7,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",10/10/1987,San Rafael,en tramite
10573-62983-AN,III de Atacama Minerals - Aguas Blancas,contaminacion del aire,42.5,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",09/02/2009,San Esteban,en tramite
17192-29514-JI,Manantial,contaminacion de suelo,23.64,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,30/09/2007,Los Vilos,en tramite
53816-62406-JO,Nabriva Therapeutics AG,contaminacion de la cadena trofica,40.37,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",01/10/2014,Galvarino,en tramite
1550-14160-BB,AmerisourceBergen Corporation (Holding Co),contaminacion de la cadena trofica,39.2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",19/09/2008,Nogales,en tramite
20017-95521-OM,"JA Solar Holdings, Co., Ltd.",contaminacion del aire,35.58,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",15/06/2019,Pelarco,en tramite
47719-23991-BG,Las Arenitas,contaminacion del aire,48.67,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",25/07/1988,Saavedra,en tramite
63846-57622-EB,First Trust Emerging Markets Small Cap AlphaDEX Fund,contaminacion de suelo,12.21,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",07/05/2018,Buin,en tramite
47014-91181-IA,"Cogentix Medical, Inc.",contaminacion del aire,28.13,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",28/10/2010,Curepto,en tramite
31688-94042-NM,Dos Amigos,contaminacion de suelo,23.54,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",12/07/2018,Puerto Octay,en tramite
25128-71258-HO,"Rush Enterprises, Inc.",contaminacion del aire,44.17,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,16/08/2016,San Pedro de Atacama,en tramite
42478-75675-JB,Mackinac Financial Corporation,contaminacion de la cadena trofica,43,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",29/07/2013,Rio Ibanez,en tramite
90566-73145-GJ,"Ashford Hospitality Prime, Inc.",contaminacion del aire,31.27,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,17/12/2015,Vilcun,en tramite
19135-88622-DO,Escondida,contaminacion de suelo,33.65,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",19/12/2018,San Rosendo,en tramite
85971-49880-FJ,"Ellie Mae, Inc.",contaminacion del aire,15.77,Phasellus in felis. Donec semper sapien a libero. Nam dui.,10/09/2016,La Serena,en tramite
43573-2053-AA,E*TRADE Financial Corporation,contaminacion de la cadena trofica,40.86,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,08/07/2011,Pichilemu,en tramite
5419-13876-AL,Mantos de la Luna,contaminacion de suelo,40.73,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",23/04/2009,La Estrella,en tramite
16708-88459-JH,"Fiserv, Inc.",contaminacion de suelo,22.39,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",09/10/1994,Valparaiso,en tramite
30030-74684-LJ,"Littelfuse, Inc.",contaminacion del aire,34.7,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,12/07/2006,Nacimiento,en tramite
57797-45004-FF,Refugio,contaminacion de la cadena trofica,1.8,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,08/02/2002,Chepica,en tramite
91546-22963-KF,STMicroelectronics N.V.,contaminacion de suelo,24.97,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,12/01/2016,San Rafael,en tramite
84858-86801-ED,"Sarepta Therapeutics, Inc.",contaminacion de suelo,21.97,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",01/07/2008,Retiro,en tramite
25347-20063-DB,La Picarda,contaminacion de la cadena trofica,14.12,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",06/11/2015,Vallenar,en tramite
97092-81559-GB,Quebrada Blanca,contaminacion del aire,41.52,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",06/03/2015,Tucapel,en tramite
44863-71983-LD,"Ocular Therapeutix, Inc.",contaminacion de suelo,40.62,Fusce consequat. Nulla nisl. Nunc nisl.,14/07/2019,Olivar,en tramite
58847-57702-IB,Imax Corporation,contaminacion del aire,18.06,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",21/01/2001,San Gregorio,en tramite
92317-4557-GD,Limoneira Co,contaminacion del aire,29.54,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",05/09/1976,Los Muermos,en tramite
26264-90956-IF,Cerro Colorado,contaminacion de la cadena trofica,45.34,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",19/06/1996,Chanco,en tramite
54561-45657-KO,Urstadt Biddle Properties Inc.,contaminacion del aire,43.54,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",20/02/2018,San Esteban,en tramite
56223-31750-NF,Intracampos,contaminacion de la cadena trofica,5.31,Phasellus in felis. Donec semper sapien a libero. Nam dui.,10/01/1996,Teno,en tramite
39917-70976-IA,Catamutun,contaminacion de la cadena trofica,3.25,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,23/06/2018,Arica,en tramite
77921-7845-EO,Elenita,contaminacion del aire,1.38,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,16/12/2005,Cabrero,en tramite
7691-34449-EE,Ojos del Salado,contaminacion del aire,30.95,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",02/01/1995,Rio Negro,en tramite
54727-68146-BN,AbbVie Inc.,contaminacion de suelo,35.16,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",05/06/2013,Traiguen,en tramite
58648-15924-BG,"SeaChange International, Inc.",contaminacion de la cadena trofica,35.89,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,23/08/2004,Freirina,en tramite
55799-36042-FG,Georgia Power Company,contaminacion de suelo,46.05,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",14/04/1959,Los Vilos,en tramite
83517-29290-AE,Stamps.com Inc.,contaminacion de la cadena trofica,40.95,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",09/07/1970,San Ramon,en tramite
95320-69278-HD,First Trust Nasdaq Retail ETF,contaminacion de la cadena trofica,2.41,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",07/07/1967,Osorno,en tramite
53897-25681-JB,Collahuasi,contaminacion de la cadena trofica,43.25,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,02/03/2014,Padre Hurtado,en tramite
90507-24599-ML,"AMC Entertainment Holdings, Inc.",contaminacion de suelo,23.82,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,22/09/2009,Cabo de Hornos,en tramite
63650-18381-KM,"National American University Holdings, Inc.",contaminacion del aire,17.04,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",18/06/1960,Quilicura,en tramite
7708-29395-MA,III de Atacama Kozan,contaminacion de la cadena trofica,20.17,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",15/02/2006,Hijuelas,en tramite
85043-85728-HB,El Toqui,contaminacion del aire,40.17,In congue. Etiam justo. Etiam pretium iaculis justo.,18/08/2014,San Vicente,en tramite
45134-4889-DK,"Commercial Vehicle Group, Inc.",contaminacion de la cadena trofica,44.85,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,07/03/1976,Angol,en tramite
58889-67588-FN,Incyte Corporation,contaminacion del aire,6.01,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",08/02/2018,Chile Chico,en tramite
99467-30552-BD,"UMH Properties, Inc.",contaminacion de la cadena trofica,29.32,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,15/02/2014,Lolol,en tramite
51253-7666-GA,China Cord Blood Corporation,contaminacion del aire,48.61,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,07/05/1973,Teno,en tramite
16130-11616-HA,"Midland States Bancorp, Inc.",contaminacion de la cadena trofica,29.82,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,06/06/2017,La Higuera,en tramite
94747-12866-GF,Silvercrest Asset Management Group Inc.,contaminacion de suelo,48.77,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,07/05/1980,Punitaqui,en tramite
5149-65227-HK,Entegra Financial Corp.,contaminacion del aire,15,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",01/11/1991,Vicuna,en tramite
97413-29056-AB,"Avon Products, Inc.",contaminacion del aire,32.9,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,20/07/2006,Valparaiso,en tramite
7859-62175-IH,Marine Petroleum Trust,contaminacion de la cadena trofica,39.37,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",31/05/2019,Ancud,en tramite
45724-70556-BE,Zion Oil & Gas Inc,contaminacion de la cadena trofica,39.73,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",21/07/2004,Pelarco,en tramite
6791-92920-OG,"MasTec, Inc.",contaminacion del aire,27.7,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",02/02/1998,Cabildo,en tramite
12792-19854-IA,El Tofo,contaminacion de la cadena trofica,1.28,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,17/01/2012,Renca,en tramite
16604-86263-JK,Inseego Corp.,contaminacion de la cadena trofica,22.79,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",17/09/2018,Cartagena,en tramite
96118-72553-IN,"Ocular Therapeutix, Inc.",contaminacion del aire,0.7,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",13/08/2014,Puchuncavi,en tramite
35595-27024-GA,Jeronimo,contaminacion de la cadena trofica,43.61,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",04/02/2007,Isla de Maipo,en tramite
94540-97790-HM,"Dupont Fabros Technology, Inc.",contaminacion de suelo,3.61,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,03/07/2019,San Fernando,en tramite
62785-97177-HA,Algorta,contaminacion de suelo,20,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,01/09/2001,Pichidegua,en tramite
17779-56139-FG,AGCO Corporation,contaminacion de la cadena trofica,5.19,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",24/09/2014,San Gregorio,en tramite
75023-32998-OF,KT Corporation,contaminacion del aire,0.23,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",26/12/1987,Saavedra,en tramite
60265-16889-FB,Crawford & Company,contaminacion de suelo,11.73,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",27/03/2019,Cholchol,en tramite
56787-93936-LF,Costamare Inc.,contaminacion de la cadena trofica,23.99,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",17/07/1990,Hualaihue,en tramite
41418-60764-BB,Brookfield Global Listed Infrastructure Income Fund,contaminacion de suelo,48.02,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",23/07/2002,La Estrella,en tramite
4251-39965-NM,"Commercial Vehicle Group, Inc.",contaminacion del aire,21.2,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",31/12/2003,Chiguayante,en tramite
65022-13050-GF,Quebrada Blanca,contaminacion del aire,1.42,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",19/09/1956,Santa Maria,en tramite
19800-14901-GG,"Recon Technology, Ltd.",contaminacion de la cadena trofica,19.81,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,05/05/1968,Caldera,en tramite
39497-96438-KI,"Herman Miller, Inc.",contaminacion de suelo,20.06,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",04/10/1967,Caldera,en tramite
8384-83195-DE,"Pinnacle Financial Partners, Inc.",contaminacion de suelo,32.97,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",21/05/2011,Curico,en tramite
82286-54738-HO,"HD Supply Holdings, Inc.",contaminacion del aire,26.11,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",30/10/2007,Tocopilla,en tramite
69676-75836-LO,Laguna Siren,contaminacion de suelo,11.64,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",24/10/1991,Pumanque,en tramite
96803-55478-EM,Ferton,contaminacion de suelo,11.97,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,06/05/1963,Vitacura,en tramite
92137-35099-BI,Regal Entertainment Group,contaminacion de suelo,33.06,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,13/01/1992,San Javier,en tramite
88623-55120-DF,Brookfield Global Listed Infrastructure Income Fund,contaminacion del aire,1.94,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",20/07/2016,La Reina,en tramite
2457-51846-DM,El Guindo,contaminacion del aire,0.92,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",16/03/2002,Coihueco,en tramite
8740-8858-JM,"Under Armour, Inc.",contaminacion de la cadena trofica,32.83,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",18/04/1961,Machali,en tramite
14017-29313-FB,"Mid-America Apartment Communities, Inc.",contaminacion de suelo,10.89,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",10/08/1991,Peumo,en tramite
59469-54040-MN,Galectin Therapeutics Inc.,contaminacion de suelo,44.78,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,07/05/1968,Antofagasta,en tramite
86563-43045-MI,Tuina,contaminacion de suelo,32.84,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",12/10/2009,Calama,en tramite
20103-83582-BA,Terreno Realty Corporation,contaminacion de suelo,43.4,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",24/12/2018,Maria Pinto,en tramite
4057-91742-EK,Quebrada Blanca,contaminacion del aire,18.87,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",01/06/2004,Curepto,en tramite
66546-13553-ME,El Morro,contaminacion de suelo,32.06,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",03/01/1996,Puqueldon,en tramite
48336-30555-OF,Special Opportunities Fund Inc.,contaminacion de suelo,21.01,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",09/09/2005,Las Condes,en tramite
14147-83745-HH,"Ellie Mae, Inc.",contaminacion del aire,40.78,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",24/08/2002,Alto Biobio,en tramite
4424-61600-BD,VictoryShares US 500 Enhanced Volatility Wtd ETF,contaminacion del aire,17.26,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",18/02/2006,Machali,en tramite
4754-69809-FE,iShares MSCI EM ESG Optimized ETF,contaminacion de la cadena trofica,29.89,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,12/11/2016,Cartagena,en tramite
93580-18864-BD,"Sportsman's Warehouse Holdings, Inc.",contaminacion del aire,39.09,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,17/11/1998,Curico,en tramite
87393-16776-EB,Celite - Carol,contaminacion de la cadena trofica,8.23,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",05/05/2005,Pemuco,en tramite
86688-55722-DE,SQM - Maria Elena,contaminacion del aire,2.7,Sed ante. Vivamus tortor. Duis mattis egestas metus.,19/06/2001,Petorca,en tramite
20360-44838-IK,Suncor EnergyInc.,contaminacion de la cadena trofica,38.26,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",18/11/1993,Alto Biobio,en tramite
18602-30208-HA,Cerro Iman,contaminacion del aire,49.27,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",03/03/1986,San Rosendo,en tramite
90116-97567-EE,"Nustar GP Holdings, LLC",contaminacion del aire,4.98,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",28/11/2003,Penco,en tramite
52765-14664-NG,Cosayach - Negreiros,contaminacion del aire,15.09,Fusce consequat. Nulla nisl. Nunc nisl.,16/02/1985,Frutillar,en tramite
35579-94468-ON,Fair Isaac Corporation,contaminacion del aire,37.69,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",30/03/2001,Talca,en tramite
56487-70353-OB,Pullalli,contaminacion de la cadena trofica,23.65,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",29/02/2004,Alto Hospicio,en tramite
88034-72967-BJ,Dollar General Corporation,contaminacion del aire,27.01,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,08/10/2013,Penco,en tramite
56071-89520-BB,Arenal,contaminacion de la cadena trofica,49.75,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,02/08/2016,Antartica,en tramite
77722-82404-BL,"Zynerba Pharmaceuticals, Inc.",contaminacion de la cadena trofica,37.81,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,03/02/1972,Talcahuano,en tramite
50773-88711-AG,El Guindo,contaminacion de suelo,8.19,Fusce consequat. Nulla nisl. Nunc nisl.,15/12/2008,Puerto Octay,en tramite
27878-84707-GG,Montecristo,contaminacion del aire,0.08,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,06/10/2003,Laja,en tramite
90415-19010-EK,"RiverNorth Opportunities Fund, Inc.",contaminacion de la cadena trofica,47.42,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",22/01/2019,Paredones,en tramite
