numero,comuna de tramitacion
5979-82306-IE,Vichuquen
44969-58753-LI,Carahue
23846-24484-AN,Vilcun
24047-15964-DJ,Nueva Imperial
62220-14148-JB,Villarrica
26636-4396-ON,La Cisterna
47335-74283-NB,Rio Ibañez
60691-62153-GJ,Andacollo
23058-13232-BD,Frutillar
50530-52064-JM,Chaiten
33028-84683-BN,Pemuco
3982-97389-HB,Providencia
22226-43533-NH,Rancagua
80256-81038-EF,La Ligua
94423-13424-BG,Taltal
86710-91440-DL,Quellon
29907-71232-ID,Colchane
63454-66198-GM,Los Vilos
54398-4756-OB,Doñihue
87472-44178-BA,Ovalle
26443-67085-AB,Negrete
55902-87797-MK,Colchane
18908-98365-EB,Puchuncavi
71240-70071-OK,El Monte
21759-52360-FF,Puerto Varas
96139-21476-FO,Curacautin
78027-41381-HF,Lo Barnechea
20262-70806-EE,Lo Espejo
96912-21071-FJ,Chimbarongo
13828-75511-GL,Laja
37485-10388-NN,Constitucion
87344-17881-GD,Quemchi
51474-57803-IE,El Quisco
9372-110-BH,Molina
49373-68418-IE,Santa Cruz
53552-35551-KG,Antuco
22745-10876-HL,Constitucion
22718-8830-IG,Maipu
73178-54136-AF,Longavi
43612-79777-NM,Puqueldon
96077-24860-EB,Constitucion
30844-30-NK,Arica
66383-20676-EJ,Macul
93550-16478-KM,Isla de Pascua
59520-83011-EO,Rio Negro
17466-22728-BH,Isla de Maipo
2180-18406-NE,Catemu
46426-71866-JK,Camarones
42543-8020-KN,Quirihue
34264-65209-GO,Isla de Pascua
76304-34422-IF,Olivar
77388-15872-IB,Santa Juana
69607-82218-OL,San Nicolas
86313-92278-IM,Arauco
73575-7146-FH,San Nicolas
27335-91106-OH,Quemchi
1695-3680-JA,Melipeuco
36329-84038-HD,Maule
96644-73689-DK,Paiguano
69101-22225-AG,Pucon
8811-6356-NF,Huara
71586-36631-DK,Alto Hospicio
77698-11724-AA,La Granja
98670-75565-HG,Melipilla
80148-26647-DO,Laguna Blanca
78934-50136-IB,Puerto Octay
30233-70246-KB,Talca
3492-85712-OE,Molina
91242-22996-DB,Corral
84593-90467-AJ,Vallenar
46058-73008-GK,Independencia
7283-42965-BE,Vitacura
35261-36008-BF,Rio Verde
83021-32094-OM,Huechuraba
74974-8801-GK,Curico
19759-82511-BN,Antuco
5348-72987-IN,Lolol
95981-56939-NB,Romeral
39302-15531-IJ,Coihaique
23904-90865-EL,Negrete
95272-7054-AL,Las Cabras
41437-2893-AO,Huasco
47775-66930-LJ,Lebu
68647-97068-OF,Los Alamos
54836-5159-BO,Zapallar
201-96026-EF,Quemchi
11365-56771-FM,Arica
91519-95874-DN,La Serena
63472-37328-NH,Corral
6417-98941-FN,Coinco
85265-49535-OH,Florida
1910-6109-AD,Panguipulli
55517-30502-EK,El Tabo
90483-5956-JK,Lota
14790-11138-EJ,Independencia
7737-84399-JA,Vitacura
33893-35310-BB,Laguna Blanca
92831-61264-HA,San Vicente
94569-75862-OM,Lago Verde
95487-31555-JB,Cunco
75360-39835-FO,La Union
35332-98995-BB,Santa Juana
71258-97295-IM,Colbun
13744-31666-BF,Cartagena
6130-16962-BE,Chepica
97350-54157-JE,Valparaiso
91048-66897-AK,Constitucion
12119-24930-KB,Calama
85204-91954-IA,Papudo
38288-53821-ND,Zapallar
97266-50687-JO,Cabildo
68045-1011-GG,Constitucion
22847-63536-OG,Quellon
61602-10543-BH,Diego de Almagro
15530-48650-MH,El Tabo
9496-40720-MB,Lo Espejo
62552-24099-GK,Alto Biobio
83531-2119-EN,Machali
81850-86492-FD,Quilpue
30852-83034-EF,Las Condes
30401-41608-KN,San Esteban
83268-1057-BE,Iquique
86141-22041-NF,Fresia
4109-41252-DI,Tolten
91479-8989-EF,Canela
47409-91440-FB,Cunco
44569-63984-OB,Vallenar
10502-28033-ID,Quinta de Tilcoco
93516-90324-GA,Rinconada
66699-38032-MJ,Valparaiso
46962-23172-DI,Curepto
38098-49172-JD,Sagrada Familia
69497-69115-KE,Calbuco
16569-67654-GH,Lago Verde
32731-68022-IN,La Granja
16268-69866-BL,Rio Bueno
22161-46083-DA,Huara
37034-41262-DK,Los Muermos
98882-6893-OG,Paiguano
61639-19341-FN,Huasco
8557-67133-DO,Calera
47192-84666-JJ,Catemu
14627-12920-IJ,Coronel
16523-92448-DA,Curico
1345-76966-FH,Colchane
81147-93005-IE,Quintero
16492-97452-BH,Maule
27187-68184-LL,Puente Alto
30724-4885-AJ,Coelemu
78934-4437-GE,Las Condes
2298-21877-IL,Colchane
94203-81699-JA,Torres del Paine
57372-237-AF,Puchuncavi
29741-78412-NB,Pica
99866-46058-BM,Diego de Almagro
70077-87394-AL,Pencahue
76238-31850-MD,Placilla
85309-60803-LA,Punta Arenas
80832-89893-BL,Santa Cruz
41122-39169-GA,Conchali
30252-7845-KG,Quinta Normal
62080-47205-EB,Iquique
61476-71130-JA,San Miguel
77638-64127-DA,Purranque
78096-10091-HF,Santa Maria
43582-61010-FK,Cañete
85187-35254-NE,Retiro
12892-64192-II,Hualqui
84568-63204-ED,Renaico
61723-32086-NM,Pinto
71494-67944-FK,Punitaqui
52910-81032-NF,Sagrada Familia
30699-78637-HB,Lonquimay
5127-50981-MF,San Nicolas
3029-16176-MG,Tiltil
43765-27172-BI,Quirihue
64350-57253-HB,San Esteban
74857-88305-OK,Torres del Paine
7536-91341-IJ,Maria Elena
64200-88416-GK,Nogales
17946-84052-BJ,Salamanca
79721-72278-MB,La Higuera
98424-73150-AF,Santa Cruz
23487-97461-BK,Macul
4725-40076-HF,Valdivia
38686-22713-NN,Nueva Imperial
32277-71247-HG,San Rafael
75566-860-DE,Lampa
21463-32725-II,Chañaral
35557-17694-AO,Punta Arenas
60467-34263-DB,Curepto
71950-61697-FA,Los Lagos
88852-46790-GL,Quilpue
27459-87848-IB,Malloa
91217-39454-IN,Yungay
97293-54596-HI,Quinta Normal
89066-60676-BH,Rauco
26745-48190-OI,Rancagua
59691-1188-BG,San Pablo
76805-98473-BN,San Rafael
68099-80504-FJ,Hualañe
70756-64824-KJ,Puerto Varas
27352-35228-LM,Santo Domingo
17318-21548-LD,Antartica
70384-87892-OD,Illapel
27010-48939-KI,Mostazal
97839-52321-NJ,San Javier
45846-74498-EM,Perquenco
7237-11977-NL,Tirua
22803-1603-BL,Peñalolen
95063-77561-KG,Ancud
47714-17317-HM,Valdivia
36929-7947-JD,Ercilla
38399-8410-KF,Vicuña
63880-99002-HI,Rinconada
24159-76000-MG,La Granja
46116-54232-DA,La Serena
60194-72697-BA,Conchali
67574-15145-IJ,Coltauco
25130-35606-MI,Arauco
79748-20404-NB,Conchali
52120-28312-HB,Huara
33158-50991-DG,Puerto Varas
44894-11686-OF,Padre Las Casas
63605-14896-LL,Mejillones
47366-90000-FI,Paredones
36811-68634-BA,Navidad
6467-14003-IM,Curaco de Velez
24382-95159-JL,Las Cabras
70828-72323-MK,Lo Prado
37009-66983-BG,Quinchao
49985-42010-LJ,Salamanca
16700-68254-KK,Vallenar
78040-63077-BH,La Granja
64319-74794-BB,Graneros
96193-24124-BA,Punta Arenas
68788-89125-JE,Vichuquen
10026-88990-LL,Pichilemu
76094-21747-NB,Quemchi
76847-47622-LB,Galvarino
44424-54684-LM,Los Andes
46047-70780-KI,Licanten
23216-7318-NG,Cerro Navia
13260-83337-LA,Maria Elena
26795-79958-ND,San Carlos
66092-2035-NH,Puente Alto
48668-25822-GF,Taltal
70633-24481-JG,Quilleco
81101-87539-KD,Puerto Octay
72714-32928-ON,Freirina
21508-56076-HB,Chaiten
59323-14622-EF,Mejillones
14684-73297-BJ,Nueva Imperial
94095-65432-AN,Chile Chico
90523-55469-BH,Requinoa
5332-60446-BE,Timaukel
95070-9024-MA,Quinta de Tilcoco
19253-40920-BA,La Serena
72867-86661-OI,San Nicolas
21322-40628-KN,Calera
6960-94298-LN,Macul
54516-61077-NN,Peñalolen
69243-11131-IL,Talagante
25075-66726-NB,Combarbala
72243-55170-BM,San Pedro
89310-62792-KH,Conchali
33965-90022-DJ,Doñihue
20173-32838-KA,Rengo
25588-42037-BK,Isla de Maipo
53505-3443-BF,San Gregorio
59053-95788-HE,San Rafael
82693-86045-HF,La Reina
56250-61226-BG,Hualpen
81963-66330-GN,Pudahuel
60955-63163-MF,Mostazal
49733-90870-DE,Ercilla
7390-54748-BH,La Ligua
48314-12676-HH,El Quisco
28985-48889-HM,Gorbea
82799-38969-HA,Parral
30870-14092-HJ,Hualqui
88619-65841-FF,Laja
28271-79162-GN,Curico
32062-83000-BF,Puyehue
58074-7321-HB,Lago Verde
12695-90271-MD,El Carmen
91655-39627-EM,Mostazal
67421-85790-BD,La Cisterna
12918-82094-MK,Fresia
8103-3908-OK,Valparaiso
76964-30900-GM,San Nicolas
41407-69085-KL,Calbuco
13153-25263-BJ,San Juan de la Costa
92555-64893-BF,Ercilla
8351-32004-GA,Lautaro
73644-6099-IB,Curacavi
26127-77319-GA,Cobquecura
40331-13856-AI,San Esteban
95270-44091-IN,San Vicente
72581-73423-HB,Ñuñoa
87798-42783-IH,Villa Alemana
79304-76285-MH,Santa Juana
62288-96639-AM,San Jose de Maipo
64648-89170-MB,Punitaqui
69916-5301-FM,El Monte
34466-3249-EL,Vilcun
6580-71073-IL,Chañaral
58755-11990-FB,Pirque
22570-17278-AL,Tucapel
51521-78818-LL,Pucon
20703-43405-MI,Curico
8678-1381-KN,Rengo
14818-22691-AJ,San Antonio
63549-97745-BB,Coihueco
31467-82150-KN,Huasco
38929-97064-BO,San Miguel
30133-12416-BE,Licanten
16920-34138-ML,Pucon
1836-1498-DD,Cabildo
98729-35303-FD,Futrono
19576-98142-EE,Florida
56207-52532-ML,Las Cabras
78644-80383-EG,Peñalolen
86806-33539-FF,Santa Juana
5236-90018-DM,Mostazal
70101-10159-DJ,Cañete
7102-7611-HH,Taltal
88983-19673-FO,Llanquihue
91982-51908-HH,Rio Ibañez
69969-57409-FB,Curacautin
70862-61331-FI,San Antonio
95678-37368-JL,Papudo
22586-99691-BB,Zapallar
4903-59544-MI,Negrete
10552-91023-FK,Zapallar
209-69695-LB,Punta Arenas
26475-95282-EF,El Quisco
70197-7868-BK,Pirque
90473-51167-GF,Castro
81624-2224-GO,Los Muermos
45175-63826-BN,Licanten
61397-86438-GA,Sagrada Familia
93332-99229-MM,Mafil
91379-42973-BA,Sagrada Familia
62400-76141-IA,Ñuñoa
15667-90105-HD,Peralillo
83529-73353-JE,Marchihue
86538-57849-OA,El Quisco
70751-8520-AB,Hualpen
65585-86096-MA,Los Muermos
92357-70094-MB,Sierra Gorda
68356-50881-OL,San Pedro
22144-74763-OO,Casablanca
21610-54095-BJ,Cerrillos
32588-41072-HA,Salamanca
36125-71744-KH,Padre Hurtado
28112-88705-MN,Santa Juana
64386-25897-FJ,Colina
98321-8525-KJ,Lonquimay
60533-50405-ML,La Granja
72630-50995-GK,Placilla
51509-3677-FE,Llanquihue
21794-89664-GB,San Pedro
55219-92040-FL,Rio Claro
32848-44299-NE,Nacimiento
66653-85757-LB,Huasco
41833-69804-JL,Guaitecas
18131-65564-FG,Palmilla
30194-11100-DI,Palmilla
12727-71701-HF,Lago Verde
73173-21281-BA,Padre Las Casas
9343-64376-BA,Contulmo
38868-40268-BN,Tirua
64869-25625-ON,Santa Juana
92946-87989-JM,Teno
66061-95515-GM,Puren
60077-68069-AJ,San Felipe
20979-80042-GI,Retiro
15232-17518-OO,San Vicente
74179-67817-LH,Calama
65891-95847-FD,Monte Patria
10867-30625-EF,Purranque
66352-65125-BN,Alto Hospicio
82894-8389-GK,Puente Alto
11092-80635-FB,Los Alamos
46600-78275-JH,Quemchi
45274-94066-LB,Chillan Viejo
45461-53192-BL,Diego de Almagro
83237-92316-EO,Providencia
8059-39271-MB,Camarones
6654-35840-OO,Los Sauces
85251-46259-FB,Paredones
92038-87475-BH,Illapel
24482-36940-LN,San Pedro de la Paz
90608-31281-JB,Peñalolen
76548-33342-AA,Licanten
53153-58030-AE,Pencahue
56418-26471-BJ,Cerro Navia
61507-47672-KJ,Licanten
64959-57176-FO,Catemu
26161-47585-DG,San Jose de Maipo
39629-64931-LF,Peralillo
52160-55336-FE,Chanco
53205-38611-AI,Peralillo
30640-28189-BG,Quilaco
86107-22803-AJ,Algarrobo
36947-35207-JB,Valdivia
78724-86788-EB,Marchihue
14361-55017-OL,Pelluhue
47147-15593-FE,El Bosque
51116-49328-EL,La Ligua
79193-12425-DJ,Cabildo
70457-78904-GA,Cochamo
56873-40031-JI,Maipu
26366-55656-JD,Chimbarongo
4163-66049-KH,Los Sauces
2291-73819-NB,Tolten
52234-26131-HB,Maule
86111-880-FH,Pedro Aguirre Cerda
78843-20791-GB,Contulmo
57951-67858-FK,Ancud
2275-21955-FE,Victoria
23023-39661-DJ,La Cruz
93012-43296-LJ,Lautaro
92490-98864-IK,Canela
60063-80861-BG,Quilicura
83256-36194-ED,Pitrufquen
43787-93399-IA,Colbun
64106-80670-HB,Ovalle
78981-6301-JL,General Lagos
27451-12032-KB,Antuco
94780-29834-LD,Graneros
347-99127-LH,Andacollo
28543-86270-BA,La Cruz
98913-79373-DH,Maipu
6789-49922-FJ,Porvenir
26856-79589-BB,Natales
67631-92109-FJ,Santa Maria
84440-96754-IJ,Renca
49634-74628-BA,Saavedra
46381-36786-DF,La Ligua
32728-36882-BK,Concepcion
40279-21967-EL,Coinco
62738-51459-LJ,San Javier
2648-26152-BE,Alhue
51588-15761-HK,Lebu
59499-43047-AE,Mafil
26654-86529-MK,Zapallar
19852-75528-EL,La Florida
55559-73141-HI,Las Condes
47057-17266-EF,Lago Ranco
90193-69552-IK,General Lagos
62093-56750-MD,Juan Fernandez
10986-44307-MD,Cerro Navia
22041-72777-LH,Cerrillos
51674-75710-BK,Freirina
81507-36437-MG,Calle Larga
91591-95251-KI,Hijuelas
92781-12528-MB,La Pintana
21172-2800-NN,Lota
38468-88433-ED,Puente Alto
78187-89598-FJ,Tolten
33141-68782-JJ,Vilcun
79842-75136-DA,Coinco
24724-88962-FM,Providencia
83294-99232-KE,Taltal
8974-67899-EN,Paredones
76541-67361-IO,Olmue
74753-37008-FJ,Calera de Tango
73349-36547-BN,Quirihue
36242-31320-MK,Quillota
1552-29109-AL,Collipulli
8000-47861-LB,Puerto Octay
5831-13175-II,Alto Hospicio
29150-52598-OK,Nacimiento
92500-99091-EI,Tortel
37351-60027-BA,Longavi
57666-61844-DE,Puente Alto
3906-95369-HF,O'Higgins
47341-36789-JF,Arica
60801-65299-MA,Carahue
32487-44831-AL,Requinoa
99447-81631-HG,Perquenco
68176-64614-GB,Quirihue
22885-480-BD,Nacimiento
32584-40215-MI,Chile Chico
10957-87669-BK,Vicuña
23932-20517-IN,Futaleufu
82291-61640-BF,Pelluhue
61754-20819-DL,Pinto
22037-64365-EE,Puyehue
24221-75188-BH,Sierra Gorda
75723-78679-HH,Pozo Almonte
93096-69587-FL,Petorca
53060-95574-KG,Dalcahue
30923-76973-FM,Vichuquen
1945-489-BI,Tucapel
16369-34683-HN,Tierra Amarilla
52345-57574-KA,Casablanca
34121-11894-OF,Villa Alegre
63320-65808-MO,La Ligua
47270-39796-AK,Puerto Octay
62983-35236-KB,Valdivia
46516-45586-JB,La Serena
79384-95405-GG,San Rafael
70731-79331-FJ,Cartagena
6980-97173-NJ,Lago Ranco
84674-86296-EI,Cerrillos
5732-83994-MD,Vilcun
60472-99387-FB,San Pablo
86732-93762-AB,Taltal
57400-12785-JM,San Rosendo
68199-22075-GK,Tome
89632-12292-NL,Los Muermos
29303-63980-ON,Codegua
49033-18779-HF,Torres del Paine
20018-59598-MM,Juan Fernandez
45546-1690-OG,Conchali
79063-50402-EO,Chonchi
7821-497-HB,Pemuco
81428-68155-BA,San Rafael
96229-95501-LJ,Navidad
99260-80906-BO,Arauco
90736-898-DF,Coinco
17979-92709-EM,Isla de Maipo
27752-13572-KD,Angol
11560-65108-KD,Marchihue
48468-88850-JF,Pedro Aguirre Cerda
29562-31806-HN,Cabildo
48800-12435-BO,Queilen
55104-16250-OB,Perquenco
3060-50526-BB,La Pintana
64777-86201-HI,Diego de Almagro
36099-11043-KO,Rio Hurtado
94309-1717-EO,O'Higgins
68253-52843-GJ,Nancagua
44000-33949-IH,Litueche
187-83465-BB,Pinto
89973-47298-AD,Contulmo
42894-62516-NB,Lonquimay
53986-40662-BB,Vichuquen
2522-62116-LE,Chillan Viejo
72932-41300-DM,Rio Negro
61318-79788-AJ,Calera
52051-83265-LO,Tome
33091-85033-JB,Lo Prado
21936-28922-BO,Santa Barbara
40171-99664-HB,La Pintana
55302-84648-KL,Queilen
50377-55295-OO,Sierra Gorda
94689-98630-OL,Coquimbo
67142-46569-LB,Petorca
80566-19106-BH,Macul
24903-54269-EN,Llaillay
92071-78129-BK,Pichidegua
78221-2607-BJ,Coronel
9946-13600-BM,Coquimbo
49409-69969-GB,Torres del Paine
34972-76333-EM,Coinco
67535-84089-HL,Quilleco
49627-88950-GB,Pedro Aguirre Cerda
6533-17053-DJ,Florida
13847-41504-DE,Castro
39081-57049-NM,Vilcun
93029-28440-DD,Huasco
92837-73175-MN,San Nicolas
88761-74211-BM,Hualpen
47455-90531-BH,Pinto
81046-774-AI,Lo Espejo
48159-42528-OH,Treguaco
79881-16679-FE,Curepto
89512-84815-BM,Diego de Almagro
51414-62668-GK,Alto del Carmen
77835-33985-BL,San Pedro
67945-43909-HL,Los Muermos
89565-78305-JI,Los Vilos
23129-49550-LN,Temuco
78333-24836-AB,Lago Verde
55737-63843-BM,Petorca
78688-4460-JB,San Fernando
19176-18886-OA,San Carlos
98238-61701-JD,Camiña
32313-16774-GJ,Renca
58592-88053-IN,Santa Barbara
18080-54193-MN,Pinto
44588-87279-JH,Lampa
84541-71329-KM,Calera de Tango
56121-68099-FL,Tome
5897-83538-BB,Freire
96305-13312-BF,Colina
67629-83728-FM,Quellon
32876-99455-AL,Yumbel
76044-22210-EN,Andacollo
47018-10154-MD,Sierra Gorda
25606-51911-LM,Quilpue
55928-96898-NF,Tome
8420-20489-OD,Peñalolen
41652-38447-BD,Peñaflor
16269-15073-OD,Alto Hospicio
53867-51130-OG,Rio Claro
84235-96070-FM,Pichidegua
76589-88798-KA,San Ramon
37000-46990-AB,Tiltil
1303-31174-OD,Purranque
51367-46965-DO,Putaendo
97699-63740-OG,Los Alamos
9114-15282-GH,Los Andes
7220-18038-EK,Lampa
42111-39382-FJ,Florida
95001-16268-AI,Hualaihue
69400-39663-NI,Talagante
45315-81539-KB,Arica
4682-82405-FM,La Higuera
98370-87021-BO,Chanco
39628-72447-DJ,Vilcun
46630-4979-OO,La Granja
15071-79687-LD,Mariquina
71861-89707-NG,Cabo de Hornos
65720-88810-DJ,Guaitecas
42274-95002-IF,Chonchi
98217-33846-JB,Peumo
54261-57350-KN,Estacion Central
49699-74688-ND,Diego de Almagro
41755-29862-FB,Hijuelas
33692-92408-ED,Nancagua
36541-39447-BB,Arica
72452-70764-HD,Cisnes
49106-36241-DG,San Vicente
22895-60850-II,Angol
77193-1181-OI,Los Vilos
28470-33973-MN,Renca
20165-91778-BN,Peumo
78251-5010-HN,Puchuncavi
24737-54214-IB,Cochrane
51058-64912-ID,Alto del Carmen
66867-88323-JM,Putre
32097-36869-LH,Santa Juana
53659-84948-ME,Cobquecura
49200-5043-LF,Coronel
90997-45950-AD,Lumaco
18429-25545-OO,El Bosque
21247-12874-DI,Padre Hurtado
32586-64773-NH,Padre Hurtado
91581-61985-BB,San Javier
70989-15810-DK,San Javier
82189-72153-LM,La Pintana
93231-56319-HH,Longavi
82638-91563-JM,San Ignacio
70856-98371-FE,La Granja
66700-52320-AA,Putre
60022-13697-IE,Los Alamos
6669-336-BF,San Vicente
43396-57569-NA,Pelarco
60138-23201-OK,Chile Chico
3076-32283-HL,Curaco de Velez
46477-36701-LD,Navidad
13751-63316-JD,San Pedro de Atacama
94545-95262-NE,Renca
82922-41956-AJ,Panquehue
18755-27578-KE,Rio Bueno
61258-35747-OB,Valdivia
30978-46295-BI,Cochrane
1298-17080-DE,Navidad
23871-5967-HO,Isla de Pascua
25504-84460-AM,San Fernando
98324-49649-EM,Villarrica
14366-83263-IE,Pedro Aguirre Cerda
12936-13739-EG,Huara
81021-37250-BD,Santa Barbara
13627-8579-AK,Valdivia
77269-84627-HB,Quinchao
86098-40505-IK,Osorno
32154-95010-FK,Quillota
89495-83626-II,Sierra Gorda
82748-75322-LO,Calle Larga
62241-67917-AD,Tome
1118-36663-FA,Timaukel
41961-44290-AM,Antofagasta
59130-34133-JA,San Esteban
73061-47652-ML,Ranquil
94933-23728-LI,Punitaqui
88993-65735-DH,Primavera
3885-17195-FL,Rio Ibañez
76067-99724-GA,Nancagua
3220-16075-AI,Nogales
15283-61762-AD,Cobquecura
89161-93861-OH,Illapel
37429-17618-BH,Papudo
56821-41302-OM,Cochamo
52663-39992-DJ,Vilcun
97648-48252-HD,San Antonio
54903-60238-BB,Rio Claro
90918-80350-IE,Las Cabras
47334-6041-HA,Vilcun
10487-2983-ED,Alhue
73232-80558-EM,Rio Claro
22476-30753-DB,Requinoa
14663-73378-FM,San Felipe
10621-77836-OB,Conchali
46429-49455-GJ,Curico
45504-18749-JB,Freirina
2759-30815-HB,Cañete
25442-65147-BH,Maule
91938-41947-HO,Juan Fernandez
87477-44480-LK,Natales
54392-83278-LG,Casablanca
28347-4113-AD,Los Lagos
52866-39469-ML,Purranque
32991-32474-LG,La Pintana
60897-99649-NH,Cochrane
26615-78710-BB,Vitacura
28252-95814-AD,Pedro Aguirre Cerda
94746-48984-KN,Calera
19614-95359-FB,Zapallar
72303-52929-HL,Vilcun
48492-18139-JO,Pemuco
45300-91954-FL,Freire
18783-95386-HM,El Bosque
10264-3448-MA,Chonchi
76206-2039-LL,Litueche
71336-86127-JN,Puyehue
53397-72090-DD,Maule
18004-83134-AJ,Vallenar
736-82701-KE,Viña del Mar
99867-24268-JD,Porvenir
41952-26136-II,Sierra Gorda
67129-55710-MN,Coquimbo
30836-47925-OE,Padre Hurtado
49285-17151-NO,Requinoa
38959-1410-AE,Tortel
38396-80732-JO,Isla de Maipo
40743-10792-KO,Pitrufquen
48043-31195-DM,Calera de Tango
60286-44911-BF,Paillaco
44951-97723-DA,Calbuco
5205-86017-NF,Cabildo
64860-78195-NB,Castro
85757-2901-NK,Rengo
71349-67664-AL,Hualpen
68962-32090-GN,Lolol
3220-13080-II,San Esteban
24892-27949-NE,El Monte
94429-79896-HK,El Carmen
74798-82839-JA,Melipeuco
25148-60192-HG,Viña del Mar
8108-28752-HK,Guaitecas
94374-75619-IJ,Chillan Viejo
31577-75144-OJ,Pozo Almonte
85005-38760-IK,Santa Cruz
86892-44731-FE,Treguaco
90814-51090-AJ,Curepto
79231-17022-JH,Putre
95657-56262-ND,Cabrero
20094-60975-DD,Casablanca
21656-49826-BB,Quirihue
88973-19565-MI,San Pedro de la Paz
10503-47882-MD,Lonquimay
72422-13074-OK,Puerto Octay
72911-53163-JL,Salamanca
52317-79924-LD,Lota
42026-36823-EA,Purranque
85501-63722-OB,El Carmen
92024-2165-BO,Caldera
57122-88644-KH,Arica
95932-45592-BL,Chillan
1143-85564-JE,La Florida
60658-70999-BD,Hualqui
35556-59011-IE,Coronel
68659-52132-DB,San Juan de la Costa
74218-14767-FE,Macul
79250-37211-BL,Panguipulli
94541-82639-GJ,San Juan de la Costa
98391-50419-OB,El Monte
37460-25490-MB,Contulmo
27418-14758-KE,Quellon
34052-55575-GL,Los Muermos
40742-84632-ME,Cochrane
13653-36309-JD,Puyehue
22964-60469-IB,Licanten
85859-31999-AE,Chillan Viejo
68262-5745-LB,Isla de Maipo
53403-23006-AM,La Reina
56514-54863-DH,San Pedro
65646-6243-OK,Lolol
66303-17372-BK,San Ramon
28081-46678-FB,Teno
82216-67497-MO,Conchali
27319-81969-JH,Vichuquen
78905-77454-IO,Nancagua
67548-42403-GO,Rio Negro
87212-93391-GF,Yumbel
78651-4572-ME,Ninhue
88808-8479-FE,Tocopilla
67895-75068-DE,Cobquecura
99682-82313-JB,Pencahue
12400-27071-JD,San Ramon
73504-19294-EH,Chile Chico
65686-88619-LB,Quintero
77060-15212-IK,Mostazal
36964-77126-JO,Los Sauces
80156-31477-AO,Padre Hurtado
22589-94475-BB,El Quisco
67509-25417-NE,Rauco
31889-34606-NH,Rio Bueno
59934-32657-JD,Pudahuel
9606-73498-JG,Constitucion
83104-10479-NA,Coquimbo
31648-1250-ID,Cisnes
42118-511-BJ,San Gregorio
67723-67314-JB,El Monte
53161-48541-DK,Cabo de Hornos
69034-73144-BF,Lumaco
69027-29832-OD,Ninhue
42857-43058-DJ,Petorca
71992-40932-GI,Pozo Almonte
84448-28405-HK,San Antonio
89311-59170-AB,Perquenco
67044-96303-EN,Rio Ibañez
64018-56207-DM,San Nicolas
40621-27696-BB,Villarrica
29324-59850-DB,Chillan
52020-50152-MK,Los Lagos
23753-74324-OF,Canela
8941-23761-EE,Algarrobo
42526-41588-ME,Graneros
638-12624-NL,Quilicura
12567-3343-KE,Rio Ibañez
19677-53331-IB,Pedro Aguirre Cerda
84478-50727-IG,La Higuera
57886-28565-LN,Queilen
74171-86839-BO,Vicuña
86151-7409-EN,Sierra Gorda
58713-37954-KG,Hijuelas
81362-8483-HG,Rio Hurtado
55495-17485-MI,Quillota
89274-68549-BO,Pozo Almonte
71943-20575-OH,Los Sauces
2511-55758-DE,Llaillay
26353-31816-MJ,Arauco
30672-96827-KB,Tiltil
20544-70708-IJ,Empedrado
47225-39623-OI,Paiguano
25521-40951-MN,Contulmo
72873-58476-NJ,Paiguano
31354-60497-FA,San Ramon
45318-26200-BK,Quirihue
12346-22978-NG,Antartica
82849-57420-IM,Monte Patria
83367-34820-JD,Cochamo
66377-74290-JB,Cholchol
98609-16509-GE,Puerto Varas
23352-30106-OH,Carahue
25729-52512-FE,San Ignacio
37222-71891-KB,Tirua
68442-127-EA,La Higuera
68196-24556-BA,Carahue
41298-5032-MK,Queilen
23509-95687-IB,Marchihue
60615-29451-DE,Limache
59595-87513-HN,San Jose de Maipo
70248-42425-BK,Sagrada Familia
42247-61078-OM,Mejillones
22087-63791-OJ,Ovalle
31478-55585-FB,San Gregorio
71609-57739-JJ,Lo Espejo
60877-56177-BE,Cabo de Hornos
9409-94937-BG,Independencia
58022-50481-ML,El Tabo
40996-37600-BB,Chaiten
12733-43773-OI,Bulnes
49891-28427-MD,Cochamo
31256-37382-BF,San Bernardo
84368-97492-AO,Galvarino
98862-9871-NM,Diego de Almagro
68671-15079-IO,Quilaco
87562-86249-OG,Paiguano
42231-37076-AB,Nueva Imperial
6218-87831-KB,Antofagasta
64267-21105-KL,Curacavi
33028-52813-FG,Quemchi
12880-88581-BK,Chiguayante
33729-5367-AN,Rio Negro
96358-67008-MD,Calera
15094-67651-NI,Puerto Varas
20431-95638-GO,Arauco
34802-78965-MI,Camarones
27324-71829-DF,Canela
21937-83363-BI,Collipulli
13728-83906-ME,Iquique
19502-87181-FB,Perquenco
72921-66709-DA,Arica
97415-36900-LL,Negrete
8311-66893-EL,Molina
43606-65120-FF,Rancagua
69000-83338-BN,Isla de Maipo
59108-67944-DO,Lautaro
89918-29939-MD,Buin
46375-77432-HD,Colbun
44419-1000-GF,Puente Alto
92951-78969-FJ,Maipu
67654-7909-GN,Vicuña
73052-25459-FH,Traiguen
96495-74348-BM,Collipulli
23894-88616-BM,Peumo
51765-97622-EG,Quellon
48596-80954-GL,Tiltil
33307-56430-DL,Gorbea
97970-3420-JN,Quinta de Tilcoco
82787-18277-AF,Nacimiento
60852-35968-AL,Puente Alto
23666-11150-JD,Peñaflor
76341-33966-EE,Chillan Viejo
69123-37717-JL,Lota
23885-1311-MN,Traiguen
96750-25707-ML,La Serena
30729-76833-BB,Calbuco
